institution,asset,asset_kr,kind,weight,asof,source,is_assumed
NPS,eq_kr,국내주식,target_2027,0.208,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,eq_gl,해외주식,target_2027,0.356,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,bond_kr,국내채권,target_2027,0.218,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,bond_gl,해외채권,target_2027,0.074,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,alt,대체투자,target_2027,0.143,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,cash,단기자금,target_2027,0.001,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,eq_kr,국내주식,actual_2026_06,0.291,2026-06-30,기금운용본부 공시(2026.6),0
NPS,eq_gl,해외주식,actual_2026_06,0.322,2026-06-30,교육용 가정(잔여 배분),1
NPS,bond_kr,국내채권,actual_2026_06,0.19,2026-06-30,교육용 가정(잔여 배분),1
NPS,bond_gl,해외채권,actual_2026_06,0.065,2026-06-30,교육용 가정(잔여 배분),1
NPS,alt,대체투자,actual_2026_06,0.14,2026-06-30,기금운용본부 공시(2026.6),0
NPS,cash,단기자금,actual_2026_06,-0.008,2026-06-30,교육용 가정(잔여 배분),1
NPS,equity,주식(국내+해외),target_2031,0.55,2026-05-28,기금운용위원회 의결(2026.5.28),0
NPS,bond,채권(국내+해외),target_2031,0.3,2026-05-28,기금운용위원회 의결(2026.5.28),0
NPS,alt,대체투자,target_2031,0.15,2026-05-28,기금운용위원회 의결(2026.5.28),0
