institution,asset,asset_kr,kind,weight,asof,source,is_assumed
NPS,eq_kr,국내주식,target_2027,0.208,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,eq_gl,해외주식,target_2027,0.356,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,bond_kr,국내채권,target_2027,0.218,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,bond_gl,해외채권,target_2027,0.074,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,alt,대체투자,target_2027,0.143,2026-05-28,기금운용위원회 의결(2026.5.28) · 정책브리핑,0
NPS,cash,단기자금,target_2027,0.001,2026-05-28,잔여(교육용 가정),1
NPS,equity,주식(국내+해외),target_2031,0.55,2026-05-28,기금운용위원회 의결(2026.5.28),0
NPS,bond,채권(국내+해외),target_2031,0.3,2026-05-28,기금운용위원회 의결(2026.5.28),0
NPS,alt,대체투자,target_2031,0.15,2026-05-28,기금운용위원회 의결(2026.5.28),0
NPS,risky,위험자산(기준포트폴리오),reference_longterm,0.65,2024-05-02,"기금운용위원회 의결(2024.5) — 장기 운용방향 65:35, 대체투자부터 적용",0
NPS,safe,안전자산(기준포트폴리오),reference_longterm,0.35,2024-05-02,기금운용위원회 의결(2024.5),0
