date,eq_kr_ret,eq_dm_ret,eq_em_ret,bond_ktb_ret,bond_gl_ret,reit_ret,cmdty_ret,month_id
2007-05-28,0.0151586,0.0102896,0.0119243,0.0022554,0.0028311,0.0108472,0.0083509,0
2007-05-29,-0.00448,0.0026695,-0.0059974,0.0014682,-0.0026684,-0.0002596,-0.0011532,0
2007-05-30,-0.0007747,-0.0087902,-0.0002247,-0.0004441,0.0008134,-0.0002369,-0.0120952,0
2007-05-31,-0.0057212,-0.0239124,-0.0233716,0.0028177,0.00027,-0.0056041,3.34e-05,0
2007-06-01,-0.0149931,-0.0068243,-0.0214812,-0.0017184,-0.0008248,-0.0064409,-0.0225751,0
2007-06-04,0.0128951,0.0069119,0.0056211,-0.0051861,-0.0025868,0.0155551,0.0105357,0
2007-06-05,-0.0108698,0.0027857,-0.0013105,-0.0007337,-0.0057129,-0.0120018,0.0029224,0
2007-06-06,-0.0034774,0.004704,0.0038414,-1.9e-06,0.0027994,0.008667,0.0029373,0
2007-06-07,-0.0127309,-0.0074897,-0.0096335,0.003181,-0.0025834,0.0065162,-0.0024088,0
2007-06-08,0.0023662,0.0123128,0.0197337,4.01e-05,0.0037621,-0.0031024,0.0132977,0
2007-06-11,0.001205,0.0061841,0.0030467,0.0070924,0.0097918,0.0058823,-0.004698,0
2007-06-12,0.0050226,-0.0058245,0.0008505,-0.000663,-0.0005167,0.0143686,-0.0113433,0
2007-06-13,0.0164085,-0.013139,0.0006841,0.0022506,0.0030251,0.0077093,0.0031736,0
2007-06-14,-0.0080368,-0.0003403,-0.0032576,0.0045638,0.0067012,0.0025509,0.0030341,0
2007-06-15,0.0081864,-0.0048235,0.0069734,0.0019117,-0.0036593,-0.0067972,0.0056909,0
2007-06-18,0.0091359,0.001173,0.0054927,-0.0005732,-0.0016406,0.0015537,-0.0075503,0
2007-06-19,0.0097751,0.0008068,0.0186746,0.0063857,1.1e-05,0.0121783,0.0007843,0
2007-06-20,0.0062557,-0.0006352,0.0012986,0.0009841,-0.0027881,0.0158522,0.0047083,0
2007-06-21,0.0110837,-0.0207066,-0.0155594,0.0036036,-0.0035141,-0.02136,-0.003025,0
2007-06-22,0.0009196,-0.010773,-0.0106719,0.0027533,0.0028593,0.0087162,0.0075589,0
2007-06-25,-0.0012076,-0.0070557,-0.000738,-0.0010909,-0.0043303,-0.0059163,-0.0042952,0
2007-06-26,0.0054527,-0.0049797,0.000356,0.0034241,0.002379,-0.0050073,-0.0072851,1
2007-06-27,0.0026997,0.0091871,0.0095552,0.0010665,0.0022632,0.0043963,0.0024131,1
2007-06-28,-0.0017161,-0.0042936,0.008256,0.0009752,-0.0012171,-0.0081413,0.0117979,1
2007-06-29,-0.0183254,0.0056337,0.0050698,0.0009256,-0.0026558,-0.0116932,0.0010105,1
2007-07-02,-0.0047001,0.0053123,0.0002031,0.0055651,0.0035197,0.0021358,-0.0086083,1
2007-07-03,-0.0069975,-0.0040741,0.0035238,0.0037058,0.0048872,0.0097522,0.010159,1
2007-07-04,-0.0009192,-0.0028787,0.002978,-6.94e-05,0.0032072,-0.0004423,0.0052907,1
2007-07-05,0.0125607,-0.0022673,0.0073085,0.0039545,0.0028795,-0.0005977,0.0058699,1
2007-07-06,-0.0137243,-0.0006943,-0.0028099,-0.0021239,-0.0083399,-0.0067556,0.0060502,1
2007-07-09,-0.0060785,-0.0043892,-0.0151822,0.0057912,0.0106357,-0.0093932,-0.0291942,1
2007-07-10,0.0029097,-0.0004728,0.0045365,-0.0032388,-0.0020139,-0.0061715,0.0127769,1
2007-07-11,0.0175589,-0.0021172,0.0112644,-0.0015504,0.0010366,-0.0049101,0.002235,1
2007-07-12,-0.0016781,0.0175757,0.0232651,0.0051856,0.0028241,0.0150213,0.0039255,1
2007-07-13,-0.0264512,-0.0145579,0.0006862,-0.003525,-0.0087337,-0.0167759,0.0193597,1
2007-07-16,0.0133338,0.0034932,0.0007927,-0.0006189,-0.0015856,0.0073482,0.0006614,1
2007-07-17,0.0047575,0.008875,0.0099487,-0.0010054,0.0062686,0.0235053,0.0026795,1
2007-07-18,-0.0020667,-0.000259,0.0090934,0.0064658,-0.0002582,0.015586,0.0045842,1
2007-07-19,0.0108151,0.0124883,0.0027553,-0.006158,-0.0088083,-0.0058222,0.0044877,1
2007-07-20,-0.0062339,-0.0039056,-0.0115743,-0.0037823,-0.0045909,0.0066389,-0.0162625,1
2007-07-23,0.0181049,0.0104502,0.0095343,0.0064821,0.0062576,0.0128624,0.0095134,1
2007-07-24,-0.0002701,0.000727,0.0091788,-0.0049018,-0.0072797,-0.0004437,-0.0043864,1
2007-07-25,0.0031127,0.0096913,0.0063875,-0.0018678,0.0008974,0.0089907,0.016179,2
2007-07-26,0.0151338,0.0050436,0.0073849,-0.0019281,0.000474,0.014791,-0.0006304,2
2007-07-27,-0.0047562,0.0023506,0.0047138,-0.0016712,0.0007829,-0.0142043,0.0043652,2
2007-07-30,0.0120619,0.0056987,0.0138557,0.0020512,-0.0016395,0.0049458,0.0160374,2
2007-07-31,-0.0192556,-0.0114733,-0.0006666,0.0078634,0.0014326,-0.0137091,0.0012288,2
2007-08-01,0.0113949,0.0120982,0.0011604,-0.0014948,0.0001514,0.0040331,-0.0156855,2
2007-08-02,0.0101247,-0.0208532,-0.004751,0.0053526,-0.0030068,-0.0055372,-0.0072709,2
2007-08-03,-0.0122841,-0.003426,-0.0066177,-0.0007107,-0.0072862,0.0023821,0.0066066,2
2007-08-06,0.0178671,0.0011449,-0.0023611,-0.0016532,-0.0014581,0.0078953,-0.0017748,2
2007-08-07,0.0012013,0.0040076,0.0053434,0.0043658,0.0029145,0.003746,0.0171326,2
2007-08-08,0.0008887,-0.0043359,-0.0080077,-0.0026046,-0.0026823,-0.0002571,-0.0021295,2
2007-08-09,0.002678,-0.0009068,0.0025517,-0.0048777,0.0005799,-0.0006497,-0.0110922,2
2007-08-10,0.035129,0.0029594,0.0029023,0.0029394,0.0089454,-0.0061235,0.0096044,2
2007-08-13,-0.0054951,-0.0123882,-0.0121476,0.0089226,0.0021695,-0.018537,0.0049739,2
2007-08-14,0.0010768,-0.0067912,-0.0103902,-0.0011782,-0.0033343,-0.0045228,-0.016364,2
2007-08-15,0.0032765,0.0084622,0.0101463,-0.0026544,0.0025476,0.0054876,0.0176504,2
2007-08-16,0.004582,0.0013975,-0.0051927,0.0009917,-0.0038338,0.0023776,0.01228,2
2007-08-17,-0.0004152,0.0093246,0.0094524,-0.004223,-0.0018403,0.0236427,0.0012603,2
2007-08-20,0.0138752,-0.005213,0.0010861,0.0025746,0.0004452,-0.009433,-0.0076105,2
