year,contrib_rate_pct,contrib_trn_krw,benefit_trn_krw,is_assumed,asof,source
2026,9.5,70.0,56.0,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2027,10.0,75.29,60.2,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2028,10.5,80.77,64.71,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2029,11.0,86.46,69.57,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2030,11.5,92.36,74.79,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2031,12.0,98.47,80.4,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2032,12.5,104.8,86.42,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2033,13.0,111.37,92.91,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2034,13.0,113.79,99.87,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2035,13.0,116.27,107.37,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2036,13.0,118.8,115.42,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2037,13.0,121.38,124.07,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2038,13.0,124.02,133.38,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2039,13.0,126.72,143.38,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2040,13.0,129.48,154.14,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2041,13.0,132.3,165.7,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2042,13.0,135.18,178.12,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2043,13.0,138.12,191.48,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2044,13.0,141.12,205.85,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2045,13.0,144.19,221.28,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2046,13.0,147.33,237.88,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2047,13.0,150.54,255.72,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2048,13.0,153.81,274.9,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2049,13.0,157.16,295.52,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2050,13.0,160.58,317.68,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2051,13.0,164.07,339.12,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2052,13.0,167.64,362.02,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2053,13.0,171.29,386.45,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2054,13.0,175.02,412.54,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2055,13.0,178.83,440.38,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2056,13.0,182.72,470.11,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2057,13.0,186.7,501.84,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2058,13.0,190.76,535.72,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2059,13.0,194.91,571.88,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2060,13.0,199.15,610.48,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2061,13.0,203.48,651.69,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2062,13.0,207.91,695.67,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2063,13.0,212.44,742.63,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2064,13.0,217.06,792.76,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2065,13.0,221.78,846.27,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2066,13.0,226.61,903.39,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2067,13.0,231.54,964.37,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2068,13.0,236.58,1029.47,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2069,13.0,241.72,1098.96,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2070,13.0,246.98,1173.14,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2071,13.0,252.36,1214.2,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2072,13.0,257.85,1256.69,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2073,13.0,263.46,1300.68,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2074,13.0,269.19,1346.2,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2075,13.0,275.05,1393.32,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2076,13.0,281.04,1442.09,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2077,13.0,287.15,1492.56,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2078,13.0,293.4,1544.8,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2079,13.0,299.78,1598.87,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2080,13.0,306.31,1654.83,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2081,13.0,312.97,1712.74,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2082,13.0,319.78,1772.69,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2083,13.0,326.74,1834.74,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2084,13.0,333.85,1898.95,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2085,13.0,341.12,1965.41,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2086,13.0,348.54,2034.2,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2087,13.0,356.12,2105.4,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2088,13.0,363.87,2179.09,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2089,13.0,371.79,2255.36,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2090,13.0,379.88,2334.3,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2091,13.0,388.15,2416.0,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2092,13.0,396.59,2500.56,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2093,13.0,405.22,2588.08,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2094,13.0,414.04,2678.66,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
2095,13.0,423.05,2772.41,1,2026-09-20,"교육용 추계 — 2025 재정추계 정점(2053·3,659조)·소진(2064)에 맞춤"
