year,w_risk_A,w_risk_B,w_risk_C,is_assumed,asof
2026,0.65,0.65,0.65,1,2026-09-20
2027,0.65,0.65,0.64,1,2026-09-20
2028,0.65,0.65,0.63,1,2026-09-20
2029,0.65,0.65,0.62,1,2026-09-20
2030,0.65,0.65,0.61,1,2026-09-20
2031,0.65,0.65,0.6,1,2026-09-20
2032,0.65,0.65,0.59,1,2026-09-20
2033,0.65,0.65,0.58,1,2026-09-20
2034,0.65,0.65,0.57,1,2026-09-20
2035,0.65,0.65,0.56,1,2026-09-20
2036,0.65,0.65,0.55,1,2026-09-20
2037,0.65,0.65,0.54,1,2026-09-20
2038,0.65,0.65,0.53,1,2026-09-20
2039,0.65,0.65,0.52,1,2026-09-20
2040,0.65,0.65,0.51,1,2026-09-20
2041,0.65,0.65,0.5,1,2026-09-20
2042,0.65,0.64,0.49,1,2026-09-20
2043,0.65,0.63,0.48,1,2026-09-20
2044,0.65,0.62,0.47,1,2026-09-20
2045,0.65,0.61,0.46,1,2026-09-20
2046,0.65,0.6,0.45,1,2026-09-20
2047,0.65,0.59,0.45,1,2026-09-20
2048,0.65,0.58,0.45,1,2026-09-20
2049,0.65,0.57,0.45,1,2026-09-20
2050,0.65,0.56,0.45,1,2026-09-20
2051,0.65,0.55,0.45,1,2026-09-20
2052,0.65,0.54,0.45,1,2026-09-20
2053,0.65,0.53,0.45,1,2026-09-20
2054,0.65,0.52,0.45,1,2026-09-20
2055,0.65,0.51,0.45,1,2026-09-20
2056,0.65,0.5,0.45,1,2026-09-20
2057,0.65,0.5,0.45,1,2026-09-20
2058,0.65,0.5,0.45,1,2026-09-20
2059,0.65,0.5,0.45,1,2026-09-20
2060,0.65,0.5,0.45,1,2026-09-20
2061,0.65,0.5,0.45,1,2026-09-20
2062,0.65,0.5,0.45,1,2026-09-20
2063,0.65,0.5,0.45,1,2026-09-20
2064,0.65,0.5,0.45,1,2026-09-20
2065,0.65,0.5,0.45,1,2026-09-20
2066,0.65,0.5,0.45,1,2026-09-20
2067,0.65,0.5,0.45,1,2026-09-20
2068,0.65,0.5,0.45,1,2026-09-20
2069,0.65,0.5,0.45,1,2026-09-20
2070,0.65,0.5,0.45,1,2026-09-20
2071,0.65,0.5,0.45,1,2026-09-20
2072,0.65,0.5,0.45,1,2026-09-20
2073,0.65,0.5,0.45,1,2026-09-20
2074,0.65,0.5,0.45,1,2026-09-20
2075,0.65,0.5,0.45,1,2026-09-20
2076,0.65,0.5,0.45,1,2026-09-20
2077,0.65,0.5,0.45,1,2026-09-20
2078,0.65,0.5,0.45,1,2026-09-20
2079,0.65,0.5,0.45,1,2026-09-20
2080,0.65,0.5,0.45,1,2026-09-20
2081,0.65,0.5,0.45,1,2026-09-20
2082,0.65,0.5,0.45,1,2026-09-20
2083,0.65,0.5,0.45,1,2026-09-20
2084,0.65,0.5,0.45,1,2026-09-20
2085,0.65,0.5,0.45,1,2026-09-20
2086,0.65,0.5,0.45,1,2026-09-20
2087,0.65,0.5,0.45,1,2026-09-20
2088,0.65,0.5,0.45,1,2026-09-20
2089,0.65,0.5,0.45,1,2026-09-20
2090,0.65,0.5,0.45,1,2026-09-20
2091,0.65,0.5,0.45,1,2026-09-20
2092,0.65,0.5,0.45,1,2026-09-20
2093,0.65,0.5,0.45,1,2026-09-20
2094,0.65,0.5,0.45,1,2026-09-20
2095,0.65,0.5,0.45,1,2026-09-20
