date,yield10,infl_exp,vix,bond_long_ret,tips_ret,eq_ret,vol_hedge_ret
1986-12-31,3.5,2.2,18.0,-0.03457,-0.00139,0.07318,-0.07353
1987-01-31,3.505,2.241,17.74,0.00273,-0.0044,-0.04612,-0.02606
1987-02-28,3.496,2.281,18.99,-0.00035,0.01451,-0.01659,-0.05509
1987-03-31,3.53,2.167,17.52,-0.00542,0.00301,-0.04389,-0.12426
1987-04-30,3.5,2.226,17.68,0.00502,0.00239,0.05012,0.03842
1987-05-31,3.46,2.256,18.49,-0.01949,0.00365,0.02717,0.00746
1987-06-30,3.346,2.299,17.42,0.0081,0.00028,0.03956,0.03748
1987-07-31,3.369,2.335,15.18,0.02514,0.00915,0.04586,0.05456
1987-08-31,3.49,2.254,17.53,0.00858,0.00381,0.01267,-0.03554
1987-09-30,3.554,2.239,20.5,-0.00958,0.01309,-0.0162,0.10347
1987-10-31,3.492,2.13,20.3,-0.01062,-0.00057,0.02595,-0.05877
1987-11-30,3.399,2.124,20.72,-0.00529,0.00658,0.04495,0.01168
1987-12-31,3.551,2.107,20.69,0.00743,-0.00396,-0.03089,-0.05794
1988-01-31,3.617,2.171,20.14,-0.00708,-0.00792,0.0203,0.02368
1988-02-29,3.707,2.091,18.67,0.00097,0.01342,0.04974,-0.02881
1988-03-31,3.637,2.066,20.04,0.01562,0.00864,0.01287,0.04549
1988-04-30,3.638,2.144,16.59,0.00629,0.00691,0.01624,-0.04083
1988-05-31,3.58,2.204,16.39,0.0201,0.01119,0.02649,-0.06425
1988-06-30,3.542,2.05,18.06,-0.0154,-0.0015,0.07045,-0.09099
1988-07-31,3.433,2.084,15.58,0.00525,0.00726,-0.00562,-0.06689
1988-08-31,3.38,2.205,13.39,0.02002,-0.01598,0.05271,-0.06364
1988-09-30,3.289,2.187,9.49,-0.00635,-0.00168,-0.01817,-0.00744
1988-10-31,3.289,2.189,9.63,0.00745,0.00975,0.00466,-0.09836
1988-11-30,3.206,2.181,9.0,0.00633,0.0068,-0.00872,0.02683
1988-12-31,3.172,2.115,11.24,-0.01295,0.00688,-0.03682,-0.1236
1989-01-31,3.132,2.189,9.83,-0.00648,-0.00023,-0.01998,0.0112
1989-02-28,3.104,2.133,11.66,0.02137,0.00181,0.06524,0.02685
1989-03-31,3.216,2.192,16.05,-0.00025,0.01192,-0.00019,0.08001
1989-04-30,3.268,2.067,16.67,0.00926,-0.02131,0.10981,-0.07531
1989-05-31,3.37,2.122,16.97,0.00705,0.01298,-0.04871,-0.01738
1989-06-30,3.384,2.131,12.84,-0.00821,0.00612,0.04517,-0.12276
1989-07-31,3.302,2.173,16.1,0.02175,-0.00476,-0.01813,0.22954
1989-08-31,3.223,2.127,17.17,0.00328,0.00852,0.02598,0.11577
1989-09-30,3.263,2.11,15.29,0.01584,0.01397,0.00866,-0.00892
1989-10-31,3.337,2.181,12.18,0.00365,-0.01423,-0.03498,0.01239
1989-11-30,3.19,2.221,13.08,0.00103,-0.008,-0.00672,0.00117
1989-12-31,3.099,2.197,13.81,0.00549,-0.00927,0.05736,0.02889
1990-01-31,3.202,2.239,15.61,-0.00362,-0.00105,-0.01012,-0.11082
1990-02-28,3.268,2.248,15.88,-0.00413,0.00232,-0.02982,-0.0269
1990-03-31,3.258,2.3,14.84,0.00244,-0.00366,0.00365,0.06175
1990-04-30,3.124,2.375,16.66,0.0029,-0.00316,-0.03217,0.09546
1990-05-31,3.358,2.44,16.05,0.00756,0.01745,0.03379,-0.07013
1990-06-30,3.309,2.586,18.18,0.00501,0.00544,-0.0079,0.09282
1990-07-31,3.162,2.535,17.96,-0.01454,-0.00541,-0.03961,-0.04976
1990-08-31,3.271,2.485,12.64,0.02488,-0.0058,0.00967,-0.05937
1990-09-30,3.333,2.366,12.38,-0.00019,-0.00631,0.02659,-0.0478
1990-10-31,3.159,2.322,12.82,-0.00679,0.01127,-0.03524,-0.06498
1990-11-30,2.975,2.237,14.05,-0.01197,0.01059,-0.00967,0.03947
1990-12-31,2.926,2.293,12.91,-0.01574,-0.003,0.07275,0.02626
1991-01-31,2.812,2.2,14.63,0.0185,-0.00189,0.04249,0.01276
1991-02-28,2.911,2.213,16.83,-0.00683,0.0199,0.01755,0.04769
1991-03-31,2.993,2.105,14.75,-0.00237,0.00427,0.01054,-0.01131
1991-04-30,2.984,2.118,15.43,-0.00644,0.00864,0.04078,0.02743
1991-05-31,2.976,2.071,15.9,0.00541,-0.01131,0.0173,-0.06476
1991-06-30,2.988,2.05,17.51,-0.00504,0.00156,0.03091,-0.00633
1991-07-31,2.963,2.042,18.17,0.01169,0.00891,-0.01214,0.02488
1991-08-31,2.905,2.163,15.88,0.0018,-0.00078,-0.03807,-0.12109
1991-09-30,2.955,2.051,15.67,-0.00418,-0.0024,-0.01438,-0.07505
1991-10-31,2.865,2.008,19.86,0.0016,-0.01328,0.02861,-0.00373
1991-11-30,2.829,2.027,18.28,0.01572,0.01009,-0.03913,0.03081
1991-12-31,2.991,2.246,15.72,-0.00554,0.00514,0.09937,-0.08369
1992-01-31,2.837,2.176,18.71,-0.00422,-0.00584,-0.05068,-0.05027
1992-02-29,2.829,2.007,15.56,-0.0052,-0.00242,0.01253,0.04411
1992-03-31,2.853,1.995,19.11,0.00243,-0.00407,0.13832,0.08274
1992-04-30,2.871,1.966,17.56,-0.00519,0.01771,-0.03741,0.0911
1992-05-31,2.8,1.88,17.01,0.0037,-0.00421,0.0675,-0.03382
1992-06-30,2.884,1.823,16.24,0.00396,0.00023,0.11786,-0.04315
1992-07-31,2.905,1.925,16.76,0.01068,0.00675,-0.0243,0.03039
1992-08-31,2.923,1.98,17.2,-0.011,0.0031,0.01608,-0.08683
1992-09-30,2.942,1.952,20.3,0.00421,0.01053,-0.00376,-0.07794
1992-10-31,2.966,1.9,21.34,-0.00233,-0.00214,-0.00224,0.01199
1992-11-30,2.981,1.78,21.56,-0.00763,0.00173,0.02423,-0.06343
1992-12-31,2.916,1.758,22.9,0.00439,-0.00537,-0.04733,0.03614
1993-01-31,3.008,1.813,22.92,-0.01146,0.00987,0.03728,-0.09865
1993-02-28,3.138,1.732,26.02,-0.0072,0.00355,-0.00177,0.05265
1993-03-31,3.225,1.686,21.46,0.0252,-0.00392,-0.05671,-0.00335
1993-04-30,3.236,1.685,19.02,-0.01381,0.01569,0.01379,-0.04821
1993-05-31,3.165,1.731,20.13,0.00357,0.01551,-0.00893,-0.07919
1993-06-30,3.153,1.771,19.84,0.02316,0.00013,0.0114,0.00161
1993-07-31,3.016,1.693,20.15,-0.00225,0.01014,-0.01835,0.0575
1993-08-31,2.991,1.713,21.63,-0.00042,-0.00266,-0.00336,-0.0461
1993-09-30,2.891,1.611,22.15,-0.01249,-0.02219,0.0566,0.01171
1993-10-31,2.891,1.632,22.44,0.00869,-0.00554,-0.06649,0.01147
1993-11-30,3.225,1.643,22.45,0.00108,0.00558,-0.0025,0.0022
1993-12-31,3.199,1.6,20.31,0.00278,-0.00152,0.00271,-0.08608
1994-01-31,3.314,1.674,17.35,0.01021,0.00589,-0.06552,-0.09932
1994-02-28,3.124,1.751,19.78,0.01932,-0.00877,0.03213,-0.04096
1994-03-31,3.097,1.762,19.86,0.01068,0.00685,-0.02776,0.00865
1994-04-30,3.028,1.679,20.54,-0.01604,0.00997,0.03106,0.03449
1994-05-31,3.126,1.695,23.15,-0.00486,0.02104,0.02131,0.10862
1994-06-30,3.148,1.637,23.9,4e-05,0.00414,0.00055,0.02306
1994-07-31,3.122,1.58,25.06,0.01923,0.00228,0.01436,-0.0469
1994-08-31,3.185,1.52,23.17,-0.0051,-0.00325,-0.01807,-0.04247
1994-09-30,3.18,1.397,21.92,-0.02055,0.00318,0.00969,0.02902
1994-10-31,3.074,1.389,19.38,0.01124,0.0111,-0.01784,0.04343
1994-11-30,3.126,1.235,23.92,0.00376,-0.00282,-0.00598,-0.03553
1994-12-31,2.923,1.372,23.31,-0.00354,-0.00893,-0.04485,-0.01248
1995-01-31,2.858,1.593,22.11,0.0011,-0.01087,0.00812,-0.0486
1995-02-28,2.878,1.495,20.36,-0.00822,-0.00876,0.01494,-0.02013
1995-03-31,2.829,1.545,21.22,-0.00563,-0.00638,-0.01151,-0.0179
1995-04-30,2.962,1.537,20.44,-0.00203,0.00699,0.01684,0.02652
1995-05-31,2.776,1.616,18.01,0.01925,-0.01439,-0.05717,0.01148
1995-06-30,2.66,1.758,16.3,0.01548,0.00085,0.03518,-0.05045
1995-07-31,2.529,1.698,14.97,0.01177,0.0194,0.00203,-0.10507
1995-08-31,2.463,1.748,15.04,-0.01177,0.01528,-0.07949,-0.09967
1995-09-30,2.605,1.783,17.0,-0.01831,0.00357,-0.04248,0.02143
1995-10-31,2.422,1.717,17.61,0.01391,-0.0102,-0.06049,0.19757
1995-11-30,2.382,1.703,17.34,-0.01846,0.00794,-0.00408,0.02573
1995-12-31,2.446,1.694,16.42,-0.0,0.00341,0.02127,0.04542
1996-01-31,2.371,1.731,18.2,-0.01322,-0.00871,-0.02622,-0.01597
1996-02-29,2.391,1.689,17.05,-0.01212,-0.0013,0.02532,-0.20509
1996-03-31,2.527,1.724,16.8,-0.01555,-0.00076,-0.01359,-0.05762
1996-04-30,2.542,1.746,18.27,0.00794,-0.00477,-0.01242,0.09201
1996-05-31,2.606,1.579,16.32,-0.00825,0.00452,0.01788,-0.0691
1996-06-30,2.635,1.598,14.96,0.00253,0.00936,0.02717,0.00854
1996-07-31,2.694,1.596,15.3,0.00351,0.00328,0.0457,-0.11304
1996-08-31,2.602,1.677,18.84,-0.0064,0.01092,0.03309,0.00414
1996-09-30,2.605,1.738,17.13,-0.00113,-0.00729,0.00328,0.07614
1996-10-31,2.578,1.627,15.09,-0.00464,-0.00175,-0.01599,-0.0459
1996-11-30,2.598,1.528,17.95,0.00359,0.01985,0.05582,-0.00191
1996-12-31,2.704,1.526,20.21,0.02806,-0.0067,0.01174,-0.10418
1997-01-31,2.639,1.461,16.3,0.01468,-0.00331,0.03771,-0.01409
1997-02-28,2.678,1.441,21.12,-0.01772,-0.00253,0.03888,0.11992
1997-03-31,2.814,1.463,20.81,0.00092,-0.00714,0.05627,0.05224
1997-04-30,2.863,1.363,21.19,-0.00375,-0.00345,-0.0306,0.0551
1997-05-31,3.044,1.355,19.09,-0.02479,-0.01729,-0.00282,-0.04599
1997-06-30,3.108,1.33,19.44,-0.00062,-0.00617,0.01797,0.02653
1997-07-31,3.112,1.312,19.64,-0.00538,0.01158,0.00775,0.03302
1997-08-31,3.092,1.412,16.7,0.01959,-0.01422,-0.0407,-0.08813
1997-09-30,3.264,1.409,22.41,-0.0199,0.02359,0.01462,0.02431
1997-10-31,3.29,1.424,25.35,0.01361,0.00086,-0.03461,-0.00803
1997-11-30,3.232,1.314,21.71,-0.00212,-0.00261,0.11357,-0.15356
1997-12-31,3.28,1.312,24.64,0.00803,0.00281,0.02999,-0.02762
1998-01-31,3.268,1.284,30.31,-0.01235,-0.0029,-0.03345,0.09396
1998-02-28,3.358,1.201,31.18,0.00341,-0.00036,-0.06504,-0.03819
1998-03-31,3.325,1.272,32.98,0.00327,-0.01881,-0.02999,-0.11838
1998-04-30,3.314,1.117,32.73,0.00364,-0.00325,0.04173,-0.04499
1998-05-31,3.379,1.087,28.47,-0.01734,-0.01013,-0.02089,-0.04143
1998-06-30,3.285,0.981,25.14,-0.00328,0.00313,-0.02347,-0.00872
1998-07-31,3.24,1.023,24.61,-0.02079,0.01422,0.03069,0.12139
1998-08-31,3.217,1.015,23.9,0.00726,-0.01347,0.00892,-0.06581
1998-09-30,3.292,1.083,22.86,0.01841,-0.00108,0.00345,-0.07542
1998-10-31,3.274,1.087,20.34,0.00589,-0.00353,0.00142,-0.08517
1998-11-30,3.009,1.232,22.49,0.00941,0.01672,0.04983,0.01123
1998-12-31,3.06,1.302,22.7,0.00907,-0.00175,0.00755,-0.03131
1999-01-31,3.143,1.319,18.31,0.01053,0.01055,0.02362,0.08217
1999-02-28,3.061,1.372,21.78,0.00089,0.00457,-0.04231,-0.03845
1999-03-31,2.981,1.485,21.48,-0.00596,-0.00939,0.01633,-0.08819
1999-04-30,2.844,1.504,20.22,0.01103,0.00891,0.00179,-0.04914
1999-05-31,3.044,1.535,20.79,-0.00142,0.00072,-0.04129,-0.11354
1999-06-30,3.196,1.651,20.07,-0.00835,0.01097,0.02925,-0.02052
1999-07-31,3.143,1.66,21.7,-0.00339,0.00039,0.09515,0.06308
1999-08-31,3.14,1.67,24.15,-0.00225,-0.01058,0.04909,0.02009
1999-09-30,3.29,1.664,21.76,0.00659,-0.01314,-0.01715,-0.05763
1999-10-31,3.238,1.632,23.03,0.01169,-0.01392,0.04902,0.02231
1999-11-30,3.233,1.594,24.31,-0.01184,-0.00562,0.03456,-0.00461
1999-12-31,3.324,1.515,26.57,-0.00095,0.00567,-0.01331,0.08879
2000-01-31,3.389,1.486,24.88,-0.01743,-0.01411,-0.05413,-0.09513
2000-02-29,3.395,1.524,25.2,-0.02016,0.00803,0.00291,-0.0864
2000-03-31,3.368,1.57,22.09,-0.00851,-0.00795,-0.02783,-0.0816
2000-04-30,3.214,1.718,20.73,0.00836,-0.00552,-0.0181,0.13903
2000-05-31,3.154,1.769,17.49,-0.02039,0.00387,0.07596,-0.06359
2000-06-30,3.236,1.747,15.93,-0.0172,-0.01009,0.00635,-0.08891
2000-07-31,3.133,1.687,11.76,-0.00762,0.00171,0.02937,0.01109
2000-08-31,3.197,1.72,13.55,0.01419,0.00483,-0.08189,0.07118
2000-09-30,3.235,1.75,16.15,0.00349,-0.01338,0.00825,0.05459
2000-10-31,3.168,1.863,16.67,-0.03017,-0.01535,-0.03667,-0.15323
2000-11-30,3.177,1.826,13.39,-0.00152,-0.00572,0.01418,0.0391
2000-12-31,3.21,1.834,13.57,-0.01785,0.00456,-0.06054,-0.07713
2001-01-31,3.151,1.674,12.94,-0.01963,0.01673,0.00681,-0.02171
2001-02-28,3.129,1.71,15.98,0.0009,-0.01853,-0.00707,-0.00238
2001-03-31,3.031,1.576,18.55,0.00068,-0.01092,-0.01799,0.07234
2001-04-30,3.108,1.55,18.53,-0.0158,0.00166,0.04401,-0.07467
2001-05-31,3.005,1.572,22.01,0.02307,0.01373,-0.03393,0.02194
2001-06-30,3.01,1.461,21.96,0.01282,0.01002,0.00562,0.01879
2001-07-31,3.068,1.659,24.15,0.01574,0.01362,-0.02937,-0.05249
2001-08-31,3.089,1.707,20.22,-0.01008,-0.01272,0.012,-0.14036
2001-09-30,3.109,1.651,19.7,0.00427,0.00391,0.01314,0.01117
2001-10-31,3.127,1.753,13.64,0.01661,-0.01091,0.03362,-0.05244
2001-11-30,3.195,1.83,11.81,-0.01385,-0.0092,0.00936,0.01991
2001-12-31,3.214,1.742,17.41,0.01922,0.00208,-0.07751,0.06659
2002-01-31,3.22,1.873,21.22,0.0098,0.00901,0.00667,0.0625
2002-02-28,3.064,1.834,18.38,-0.02435,-0.01095,0.00426,-0.15798
2002-03-31,3.031,1.857,20.32,-0.01946,0.00425,0.05913,-0.04337
2002-04-30,3.026,1.882,19.14,0.00974,-0.01887,-0.00367,0.04481
2002-05-31,3.029,1.797,20.7,0.00563,-0.00865,0.01969,-0.0234
2002-06-30,3.176,1.743,18.75,0.0203,0.00067,0.0617,0.01744
2002-07-31,3.055,1.758,13.17,-0.00521,-0.01113,-0.02459,0.01714
2002-08-31,2.998,1.708,16.51,0.00945,0.01267,-0.03147,0.01006
2002-09-30,3.223,1.767,16.59,-0.00578,-0.00601,0.05846,0.02163
2002-10-31,3.326,1.82,16.62,-0.01547,0.00914,-0.02853,-0.12391
2002-11-30,3.371,1.891,14.61,0.00642,0.00232,0.02442,-0.01229
2002-12-31,3.39,1.924,18.07,0.02355,-0.00528,0.09139,0.06102
2003-01-31,3.322,1.927,17.58,-0.02248,-0.01175,-0.0096,-0.05476
2003-02-28,3.344,1.953,23.12,-0.00609,-0.00995,0.00016,0.1073
2003-03-31,3.452,1.913,23.79,0.02885,-0.00453,0.08002,-0.05914
2003-04-30,3.476,1.926,28.61,0.01366,0.00299,0.00605,0.01793
2003-05-31,3.486,2.055,23.62,0.02878,-0.02213,-0.01606,-0.15289
2003-06-30,3.483,1.908,26.81,-0.00865,0.01749,0.01992,0.04114
2003-07-31,3.666,1.821,28.94,-0.00179,-0.00692,-0.00837,-0.07821
2003-08-31,3.783,1.723,30.53,-0.01915,0.00099,-0.02858,-0.02021
2003-09-30,3.788,1.687,27.87,0.00288,0.01101,-0.07016,-0.21683
2003-10-31,3.741,1.574,27.43,0.00526,-0.00185,0.03685,-0.095
2003-11-30,3.63,1.672,27.32,0.00949,0.01675,-0.0332,-0.0347
2003-12-31,3.409,1.578,26.05,-0.01651,0.00011,-0.04491,-0.01931
2004-01-31,3.464,1.598,25.07,0.0078,0.00289,0.12338,0.03441
2004-02-29,3.611,1.659,25.31,0.00314,0.0144,0.00732,-0.05098
2004-03-31,3.657,1.762,27.07,-0.00553,0.01406,0.01991,0.06301
2004-04-30,3.687,1.735,29.4,0.00333,-0.01074,-0.0119,-0.00417
2004-05-31,3.886,1.71,28.86,0.01092,-0.02256,0.02793,0.00827
2004-06-30,3.994,1.735,29.88,0.00253,-0.00384,-0.01113,-0.03397
2004-07-31,4.136,1.661,26.96,-0.00078,0.00521,-0.04826,-0.05388
2004-08-31,3.977,1.73,26.24,-0.00298,-0.00268,0.09198,0.06074
2004-09-30,3.833,1.877,27.49,-0.01259,-0.00041,0.02017,0.08177
2004-10-31,3.621,1.85,27.6,-0.00584,-0.00118,-0.03804,-0.02218
2004-11-30,3.748,1.862,25.5,-0.00206,-0.02758,-0.02456,-0.14113
2004-12-31,3.882,1.757,23.23,0.01183,0.00405,0.01203,-0.05943
2005-01-31,3.772,1.666,20.49,-0.01698,0.0063,0.01024,0.01913
2005-02-28,3.738,1.697,17.44,0.01787,-0.00633,-0.04111,-0.05288
2005-03-31,3.753,1.798,17.39,-0.01014,0.00826,0.03755,0.04343
2005-04-30,3.833,1.893,17.3,-0.03291,0.00182,0.03252,-0.1707
2005-05-31,3.747,1.931,17.19,0.02908,0.00022,0.00386,-0.01127
2005-06-30,3.652,2.011,15.72,-0.02443,0.00865,0.00433,-0.02461
2005-07-31,3.681,2.115,15.48,0.01038,0.00514,0.00973,-0.08983
2005-08-31,3.656,2.129,16.21,0.00447,0.02383,0.0496,0.0279
2005-09-30,3.61,2.059,12.26,0.01108,0.01757,0.01878,-0.08901
2005-10-31,3.692,2.091,11.47,-0.00522,-0.01949,-0.04216,-0.04422
2005-11-30,3.533,2.15,11.99,0.01958,0.00921,0.01591,-0.06512
2005-12-31,3.495,2.253,11.81,0.0062,0.00431,-0.00814,-0.04312
2006-01-31,3.575,2.218,14.25,-0.00143,0.01188,-0.00432,-0.07432
2006-02-28,3.564,2.15,16.39,-0.0028,0.00258,-0.04053,0.08036
2006-03-31,3.599,2.186,17.88,0.00451,0.00347,-0.0074,0.11889
2006-04-30,3.659,2.162,17.11,-0.01542,0.0233,-0.01064,-0.1067
2006-05-31,3.686,2.103,16.83,0.00657,-0.01843,0.06508,-0.09028
2006-06-30,3.744,1.967,15.66,0.0011,0.0027,0.0109,0.01108
2006-07-31,3.651,1.816,16.13,0.01988,-0.02278,0.00896,-0.05561
2006-08-31,3.65,1.892,11.57,0.00497,-0.00695,-0.03899,-0.12105
2006-09-30,3.575,1.886,13.08,0.00736,0.00299,-0.01656,0.02864
2006-10-31,3.695,1.754,14.35,0.02656,-0.01337,0.0863,0.05814
2006-11-30,3.771,1.723,13.82,0.00764,-0.00568,-0.03944,-0.09619
2006-12-31,3.733,1.65,12.02,0.00513,0.00423,-0.06138,-0.15349
2007-01-31,3.729,1.773,10.9,-0.00905,-0.00511,0.04631,-0.01473
2007-02-28,3.767,1.803,9.65,-0.01377,0.00576,0.02481,-0.09096
2007-03-31,3.762,1.759,13.18,-0.01071,-0.01409,0.00112,0.12764
2007-04-30,3.811,1.675,17.23,-0.00877,0.00899,-0.00604,0.0483
2007-05-31,3.698,1.589,17.82,0.01874,0.01702,0.01708,-0.04833
2007-06-30,3.52,1.369,20.39,-0.00478,-0.01495,-0.03849,-0.0228
2007-07-31,3.523,1.305,22.3,-0.00092,-0.00691,-0.00304,0.1086
2007-08-31,3.365,1.358,23.46,-0.02064,-0.01334,0.01649,-0.0696
2007-09-30,3.321,1.364,19.31,-0.00068,-0.00945,-0.02288,0.06975
2007-10-31,3.346,1.305,16.8,0.02555,0.00619,0.05445,0.1313
2007-11-30,3.329,1.362,16.78,0.03791,0.00504,0.02103,-0.0669
2007-12-31,3.427,1.393,19.53,0.01456,0.00106,-0.01635,0.00536
2008-01-31,3.563,1.492,16.62,0.02193,-0.00724,0.02229,-0.14556
2008-02-29,3.713,1.444,13.62,-0.01225,0.00212,0.01382,0.01289
2008-03-31,3.579,1.57,13.0,0.00465,-0.00907,0.0923,-0.05733
2008-04-30,3.39,1.633,16.1,0.00564,-0.00312,0.01285,-0.03952
2008-05-31,3.331,1.583,16.93,-0.01689,0.01302,0.04678,0.06905
2008-06-30,3.272,1.621,16.3,-0.00739,0.0136,0.02241,-0.04879
2008-07-31,3.416,1.697,16.54,-0.02035,0.00417,-0.08574,-0.02245
2008-08-31,3.302,1.7,17.73,-0.00469,0.0073,0.02754,0.09968
2008-09-30,3.3,1.679,19.33,-0.00049,-0.00612,0.00749,0.02825
2008-10-31,3.214,1.605,19.05,-0.02365,0.01151,0.05537,-0.05389
2008-11-30,3.043,1.64,16.04,-0.00305,-0.01391,-0.01312,-0.08322
2008-12-31,3.016,1.618,11.09,-0.00834,-0.01205,0.09289,-0.0969
2009-01-31,2.943,1.676,9.09,0.00625,0.00268,0.0108,-0.01568
2009-02-28,3.032,1.63,10.62,-0.01209,-0.00118,-0.01221,-0.01575
2009-03-31,3.126,1.569,9.0,-0.00248,-0.01148,-0.02256,-0.07912
2009-04-30,3.158,1.758,12.57,0.00135,0.00434,0.03488,0.0902
2009-05-31,3.108,1.784,15.29,0.00331,0.01637,0.0259,-0.02875
2009-06-30,3.113,1.782,17.1,-0.00033,0.00581,0.04277,-0.07597
2009-07-31,3.041,1.761,15.24,0.01083,-0.0114,0.03314,-0.04932
2009-08-31,2.993,1.737,16.74,-0.01167,-0.00797,-0.00366,-0.03046
2009-09-30,3.228,1.666,16.05,0.00518,0.00151,0.00314,-0.06533
2009-10-31,3.405,1.749,10.05,0.00688,0.00457,0.0442,0.00456
2009-11-30,3.352,1.78,12.95,-0.0045,-0.00639,-0.03305,0.03274
2009-12-31,3.272,1.732,13.53,-0.003,0.00606,-0.00755,-0.02294
2010-01-31,3.367,1.895,12.08,-0.00789,0.01215,-0.03491,0.01633
2010-02-28,3.277,2.022,12.27,0.00636,-0.00604,-0.00706,0.11345
2010-03-31,3.488,1.954,9.0,0.00485,0.0034,0.0025,0.04
2010-04-30,3.682,1.838,11.19,-0.01403,-0.00609,-0.00066,0.0817
2010-05-31,3.719,1.898,9.0,-0.0074,-0.01278,0.01725,-0.06335
2010-06-30,3.646,1.841,13.72,-0.00414,0.01448,-0.04058,0.01308
2010-07-31,3.657,1.78,11.71,0.00692,0.00402,-0.0043,0.02589
2010-08-31,3.65,1.589,10.63,0.0228,-0.00449,-0.02458,-0.01301
2010-09-30,3.767,1.589,10.46,-0.00162,0.00051,0.08889,0.02826
2010-10-31,3.732,1.554,12.31,0.001,0.01052,-0.02902,-0.01398
2010-11-30,3.584,1.51,10.48,-0.00813,0.01302,0.00334,-0.07093
2010-12-31,3.45,1.524,11.83,-0.00945,-0.0051,-0.06285,-0.01114
2011-01-31,3.439,1.568,16.15,-0.01586,0.02071,-0.01945,-0.10819
2011-02-28,3.394,1.552,16.78,-0.00292,0.02032,0.03412,-0.04928
2011-03-31,3.326,1.645,14.18,-0.00178,0.00735,0.04,0.01545
2011-04-30,3.381,1.609,14.55,-0.00011,-0.00036,-0.00853,0.02664
2011-05-31,3.282,1.72,13.57,0.00302,0.00746,0.04568,0.035
2011-06-30,3.289,1.749,13.86,0.00471,0.01534,-0.09007,-0.00941
2011-07-31,3.39,1.733,17.74,-0.00094,0.00973,-0.0203,-0.01137
2011-08-31,3.531,1.777,11.73,0.007,0.00872,-0.04402,-0.04134
2011-09-30,3.494,1.741,14.29,0.02503,-0.00771,-0.01087,0.03737
2011-10-31,3.363,1.698,15.74,0.01343,-0.00233,0.02152,0.03607
2011-11-30,3.311,1.695,22.32,-0.00384,0.0086,0.0029,-0.00247
2011-12-31,3.244,1.643,22.82,0.01198,-0.01009,0.06609,-0.11005
2012-01-31,3.217,1.558,26.47,0.00551,0.02112,0.03184,-0.05731
2012-02-29,3.252,1.563,26.24,-0.00739,-0.00874,-0.01641,-0.01054
2012-03-31,3.273,1.69,29.01,0.01652,-0.00757,-0.03937,-0.02581
2012-04-30,3.305,1.687,28.0,0.01744,-0.01671,0.04818,-0.08135
2012-05-31,3.477,1.705,29.26,-0.00772,0.00466,-0.05772,-0.04212
2012-06-30,3.501,1.608,27.4,0.01068,-0.01176,-0.09951,-0.10104
2012-07-31,3.485,1.748,30.72,-0.00492,-0.00032,-0.00215,0.11335
2012-08-31,3.461,1.839,28.31,-0.00238,0.00399,0.00883,-0.05084
2012-09-30,3.55,1.845,34.22,-0.00365,0.00562,-0.04798,0.11706
2012-10-31,3.411,1.812,33.29,0.02093,0.01508,0.08621,0.02733
2012-11-30,3.405,1.667,31.62,-0.01439,-0.0036,-0.02869,-0.00648
2012-12-31,3.367,1.733,28.58,0.0039,-0.00884,0.03098,-0.03484
2013-01-31,3.378,1.66,29.32,-0.00691,-0.00481,0.01424,-0.0418
2013-02-28,3.356,1.683,28.98,-0.01451,0.00593,0.03363,0.04362
2013-03-31,3.426,1.638,30.76,-0.02967,-0.00748,0.04909,-0.02547
2013-04-30,3.304,1.648,32.4,-0.00548,0.00032,0.02829,-0.0588
2013-05-31,3.348,1.592,29.43,-0.00058,-0.01385,-0.0346,0.02522
