year,contrib_rate_pct,contrib_trn_krw,benefit_trn_krw,net_outflow_trn_krw,in_liability_window,is_assumed,asof,source
2026,9.5,70.0,56.0,-14.0,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2027,10.0,75.29,60.2,-15.09,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2028,10.5,80.77,64.71,-16.06,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2029,11.0,86.46,69.57,-16.89,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2030,11.5,92.36,74.79,-17.57,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2031,12.0,98.47,80.4,-18.07,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2032,12.5,104.8,86.42,-18.38,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2033,13.0,111.37,92.91,-18.46,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2034,13.0,113.79,99.87,-13.92,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2035,13.0,116.27,107.37,-8.9,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
2036,13.0,118.8,115.42,-3.38,1,1,2026-09-21,"교육용 추계 — W06 케이스데이터와 동일 가정(2025 재정추계 정점 2053·3,659조 · 소진 2064에 맞춤)"
