key,value,meaning,is_assumed,source,asof
ktb_outstanding_trn,1159.4,국고채 잔액 2025.12 말,0,재정경제부 국채시장 통계,2026-09-21
ktb_issue_total_2025_trn,226.2,2025 국고채 발행 총액,0,재정경제부 국채시장 통계,2026-09-21
ktb_issue_30y_2025_trn,71.3,2025 30년물 발행,0,재정경제부 국채시장 통계,2026-09-21
ktb_issue_50y_2025_trn,8.4,2025 50년물 발행,0,재정경제부 국채시장 통계,2026-09-21
ktb_issue_20y_2025_trn,7.6,2025 20년물 발행,0,재정경제부 국채시장 통계,2026-09-21
ktb_issue_long_2025_trn,87.3,2025 장기물(20·30·50년) 발행 합계,0,재정경제부 국채시장 통계(합산),2026-09-21
ktb_plan_2026_trn,225.7,2026 국고채 발행 계획(장기물 35±5%),0,재정경제부 2026 발행계획,2026-09-21
ktb_30y_out_2025_trn_est,392.3,30년물 잔액 2025 말 추정 = 2014 말 30조 + 2014→24 증가 291조 + 2025 발행 71.3조,1,자본시장연구원(증가분) + 교육용 추정,2026-09-21
ktb_50y_out_2025_trn_est,45.0,50년물 잔액 2025 말 추정,1,교육용 추정,2026-09-21
ktb_avg_maturity_2024_y,13.2,국고채 평균 잔존만기 2024,0,자본시장연구원,2026-09-21
long_buyer_insurer_trn,229.4,잔존만기 20년 초과 순매수 2013~2024 — 보험사,0,자본시장연구원,2026-09-21
long_buyer_fund_trn,53.5,잔존만기 20년 초과 순매수 2013~2024 — 기금·공제,0,자본시장연구원,2026-09-21
long_buyer_foreign_trn,51.1,잔존만기 20년 초과 순매수 2013~2024 — 외국인,0,자본시장연구원,2026-09-21
irs_turnover_2025_trn,5986.0,2025 원화 이자율스왑 거래규모(연간 명목),0,금융감독원 장외파생상품 거래 현황,2026-09-21
ird_turnover_2025_trn,6215.0,2025 이자율 관련 장외파생 거래규모,0,금융감독원,2026-09-21
irs_long_tenor_share,0.1,IRS 거래 중 20년 이상 장기물 비중,1,교육용 가정,2026-09-21
unfunded_nabo_trn,1820.0,미적립부채 추정(70년 기준),0,국회예산정책처,2026-09-21
unfunded_npsri_2021_trn,1735.0,미적립부채 추정(2021),0,국민연금연구원,2026-09-21
