floor_x,m,fee_pct,is_assumed,asof
0.8,1,0.5,1,2026-09-21
0.8,1,0.8,1,2026-09-21
0.8,1,1.0,1,2026-09-21
0.8,1,1.2,1,2026-09-21
0.8,1,1.5,1,2026-09-21
0.8,2,0.5,1,2026-09-21
0.8,2,0.8,1,2026-09-21
0.8,2,1.0,1,2026-09-21
0.8,2,1.2,1,2026-09-21
0.8,2,1.5,1,2026-09-21
0.8,3,0.5,1,2026-09-21
0.8,3,0.8,1,2026-09-21
0.8,3,1.0,1,2026-09-21
0.8,3,1.2,1,2026-09-21
0.8,3,1.5,1,2026-09-21
0.8,4,0.5,1,2026-09-21
0.8,4,0.8,1,2026-09-21
0.8,4,1.0,1,2026-09-21
0.8,4,1.2,1,2026-09-21
0.8,4,1.5,1,2026-09-21
0.8,5,0.5,1,2026-09-21
0.8,5,0.8,1,2026-09-21
0.8,5,1.0,1,2026-09-21
0.8,5,1.2,1,2026-09-21
0.8,5,1.5,1,2026-09-21
0.8,6,0.5,1,2026-09-21
0.8,6,0.8,1,2026-09-21
0.8,6,1.0,1,2026-09-21
0.8,6,1.2,1,2026-09-21
0.8,6,1.5,1,2026-09-21
0.9,1,0.5,1,2026-09-21
0.9,1,0.8,1,2026-09-21
0.9,1,1.0,1,2026-09-21
0.9,1,1.2,1,2026-09-21
0.9,1,1.5,1,2026-09-21
0.9,2,0.5,1,2026-09-21
0.9,2,0.8,1,2026-09-21
0.9,2,1.0,1,2026-09-21
0.9,2,1.2,1,2026-09-21
0.9,2,1.5,1,2026-09-21
0.9,3,0.5,1,2026-09-21
0.9,3,0.8,1,2026-09-21
0.9,3,1.0,1,2026-09-21
0.9,3,1.2,1,2026-09-21
0.9,3,1.5,1,2026-09-21
0.9,4,0.5,1,2026-09-21
0.9,4,0.8,1,2026-09-21
0.9,4,1.0,1,2026-09-21
0.9,4,1.2,1,2026-09-21
0.9,4,1.5,1,2026-09-21
0.9,5,0.5,1,2026-09-21
0.9,5,0.8,1,2026-09-21
0.9,5,1.0,1,2026-09-21
0.9,5,1.2,1,2026-09-21
0.9,5,1.5,1,2026-09-21
0.9,6,0.5,1,2026-09-21
0.9,6,0.8,1,2026-09-21
0.9,6,1.0,1,2026-09-21
0.9,6,1.2,1,2026-09-21
0.9,6,1.5,1,2026-09-21
1.0,1,0.5,1,2026-09-21
1.0,1,0.8,1,2026-09-21
1.0,1,1.0,1,2026-09-21
1.0,1,1.2,1,2026-09-21
1.0,1,1.5,1,2026-09-21
1.0,2,0.5,1,2026-09-21
1.0,2,0.8,1,2026-09-21
1.0,2,1.0,1,2026-09-21
1.0,2,1.2,1,2026-09-21
1.0,2,1.5,1,2026-09-21
1.0,3,0.5,1,2026-09-21
1.0,3,0.8,1,2026-09-21
1.0,3,1.0,1,2026-09-21
1.0,3,1.2,1,2026-09-21
1.0,3,1.5,1,2026-09-21
1.0,4,0.5,1,2026-09-21
1.0,4,0.8,1,2026-09-21
1.0,4,1.0,1,2026-09-21
1.0,4,1.2,1,2026-09-21
1.0,4,1.5,1,2026-09-21
1.0,5,0.5,1,2026-09-21
1.0,5,0.8,1,2026-09-21
1.0,5,1.0,1,2026-09-21
1.0,5,1.2,1,2026-09-21
1.0,5,1.5,1,2026-09-21
1.0,6,0.5,1,2026-09-21
1.0,6,0.8,1,2026-09-21
1.0,6,1.0,1,2026-09-21
1.0,6,1.2,1,2026-09-21
1.0,6,1.5,1,2026-09-21
