year,fixed_spend_bn_krw,current_spend_bn_krw,lump_withdrawal_bn_krw,is_assumed,asof
1,175.0,200.0,0.0,1,2026-09-21
2,178.5,204.0,0.0,1,2026-09-21
3,182.1,208.1,600.0,1,2026-09-21
4,185.7,212.2,0.0,1,2026-09-21
5,189.4,216.5,0.0,1,2026-09-21
6,193.2,220.8,0.0,1,2026-09-21
7,197.1,225.2,0.0,1,2026-09-21
8,201.0,229.7,0.0,1,2026-09-21
9,205.0,234.3,0.0,1,2026-09-21
10,209.1,239.0,0.0,1,2026-09-21
11,213.3,243.8,0.0,1,2026-09-21
12,217.6,248.7,0.0,1,2026-09-21
13,221.9,253.6,0.0,1,2026-09-21
14,226.4,258.7,0.0,1,2026-09-21
15,230.9,263.9,0.0,1,2026-09-21
16,235.5,269.2,0.0,1,2026-09-21
17,240.2,274.6,0.0,1,2026-09-21
18,245.0,280.0,0.0,1,2026-09-21
19,249.9,285.6,0.0,1,2026-09-21
20,254.9,291.4,0.0,1,2026-09-21
21,260.0,297.2,0.0,1,2026-09-21
22,265.2,303.1,0.0,1,2026-09-21
23,270.5,309.2,0.0,1,2026-09-21
24,276.0,315.4,0.0,1,2026-09-21
25,281.5,321.7,0.0,1,2026-09-21
26,287.1,328.1,0.0,1,2026-09-21
27,292.8,334.7,0.0,1,2026-09-21
28,298.7,341.4,0.0,1,2026-09-21
29,304.7,348.2,0.0,1,2026-09-21
30,310.8,355.2,0.0,1,2026-09-21
