date,regime,eq_ret,yield10,bond_gov_ret,rf,alt_pe_ret,alt_pe_rep_ret,cpi
1986-12-31,0,-0.0042,3.0,0.0025,0.00208,-0.00146,-0.00146,-0.00139
1987-01-31,0,0.00812,3.232,-0.01356,0.00228,-0.0305,-0.01162,0.00049
1987-02-28,0,-0.03087,3.484,-0.01474,0.00249,-0.01318,-0.01217,0.00129
1987-03-31,0,0.03568,3.898,-0.02572,0.00283,0.05743,0.01219,-0.00029
1987-04-30,0,0.04248,3.924,0.00147,0.00285,0.06818,0.03179,0.00074
1987-05-31,0,0.0196,3.758,0.01474,0.00271,0.02117,0.02807,0.00202
1987-06-30,0,0.01756,3.82,-0.00118,0.00277,0.0438,0.03358,0.00128
1987-07-31,0,-0.0229,4.036,-0.01173,0.00295,-0.0321,0.01059,0.00268
1987-08-31,0,0.01536,3.853,0.01597,0.00279,-0.00664,0.00456,-0.00192
1987-09-30,0,0.00666,4.002,-0.00706,0.00292,0.03648,0.01573,0.00138
1987-10-31,0,0.0112,3.773,0.01915,0.00273,0.02939,0.02051,0.00097
1987-11-30,0,0.01545,3.392,0.02953,0.00241,0.04166,0.02792,0.0004
1987-12-31,0,0.02721,3.415,0.00119,0.00243,0.02801,0.02795,-4e-05
1988-01-31,0,-0.03376,3.545,-0.0061,0.00254,-0.03983,0.00423,0.00192
1988-02-29,0,-0.01151,3.45,0.00952,0.00246,-0.00212,0.002,0.00391
1988-03-31,0,0.02734,3.446,0.00317,0.00245,0.00135,0.00177,0.00077
1988-04-30,0,-0.02809,3.43,0.00393,0.00244,-0.04437,-0.01437,-0.00162
1988-05-31,0,0.00503,3.512,-0.00279,0.00251,0.02418,-0.00088,-0.00089
1988-06-30,0,0.02632,3.442,0.00777,0.00245,0.10022,0.03451,0.0052
1988-07-31,0,0.04127,3.426,0.004,0.00244,0.04962,0.0398,0.00128
1988-08-31,0,0.06582,3.462,0.00035,0.00247,0.07873,0.05342,-0.00037
1988-09-30,0,-0.01007,3.429,0.00514,0.00244,0.0209,0.04204,0.00473
1988-10-31,0,0.0166,3.187,0.01963,0.00224,0.0188,0.03391,0.00313
1988-11-30,0,0.02608,2.812,0.02855,0.00193,0.03523,0.03437,0.00301
1988-12-31,0,0.01152,2.785,0.00426,0.0019,0.01989,0.0293,-0.00141
1989-01-31,0,0.03346,3.038,-0.01521,0.00212,0.03136,0.03002,0.0011
1989-02-28,1,-0.00718,2.979,0.00663,0.00207,-0.00894,0.01638,0.00117
1989-03-31,0,0.06424,3.342,-0.02261,0.00237,0.0665,0.03392,-0.00079
1989-04-30,0,0.00566,3.36,0.00153,0.00238,0.00101,0.0224,0.00521
1989-05-31,0,0.02643,3.235,0.01142,0.00228,0.03898,0.0282,0.00657
1989-06-30,0,-0.04694,3.286,-0.00083,0.00232,-0.07181,-0.0068,-0.00105
1989-07-31,0,-0.02309,3.133,0.01334,0.00219,-0.02819,-0.01429,0.00342
1989-08-31,0,0.01866,3.091,0.00551,0.00216,0.00413,-0.00784,-0.00013
1989-09-30,0,0.00101,3.123,0.00039,0.00219,-0.01435,-0.01012,0.00142
1989-10-31,0,0.00442,2.953,0.01434,0.00204,0.00781,-0.00385,0.00347
1989-11-30,0,-0.00885,3.003,-0.00099,0.00209,0.00455,-0.00091,0.00441
1989-12-31,0,0.01148,3.173,-0.00926,0.00223,0.04963,0.01678,0.00214
1990-01-31,0,-0.00347,3.047,0.01135,0.00212,0.02081,0.01819,0.00173
1990-02-28,0,-0.02893,3.154,-0.00482,0.00221,-0.01452,0.00674,0.00159
1990-03-31,0,0.04886,3.437,-0.017,0.00245,0.08616,0.03454,0.0041
1990-04-30,0,0.00912,3.62,-0.00979,0.0026,0.00207,0.02317,-0.00035
1990-05-31,0,0.01826,3.65,0.00096,0.00262,0.04388,0.03042,0.00396
1990-06-30,0,0.02128,3.627,0.00461,0.00261,0.01036,0.0234,0.00078
1990-07-31,0,-0.07569,4.057,-0.02672,0.00296,-0.09043,-0.01644,-0.00025
1990-08-31,0,0.05077,3.839,0.01846,0.00278,0.0794,0.0171,0.00184
1990-09-30,0,-0.02642,3.947,-0.00423,0.00287,-0.04132,-0.00334,0.00442
1990-10-31,0,0.01155,4.118,-0.00856,0.00302,0.04424,0.01331,0.00248
1990-11-30,0,-0.01652,3.765,0.02786,0.00272,-0.02438,0.00012,0.0019
1990-12-31,0,0.01259,3.837,-0.00189,0.00278,0.00933,0.00334,-0.00079
1991-01-31,0,-0.01357,3.813,0.00492,0.00276,-0.02207,-0.00555,0.00258
1991-02-28,0,0.01211,3.456,0.02781,0.00246,0.03168,0.00748,-0.00084
1991-03-31,0,-0.06447,3.162,0.02322,0.00222,-0.07385,-0.02099,0.00394
1991-04-30,0,-0.02271,3.041,0.01104,0.00212,-0.04607,-0.02977,-0.00117
1991-05-31,0,0.00708,3.185,-0.00746,0.00224,0.02019,-0.01228,0.00303
1991-06-30,0,-0.01395,3.153,0.00487,0.00221,0.01503,-0.00272,0.00255
1991-07-31,0,-0.02174,3.276,-0.00586,0.00231,-0.04205,-0.01649,0.00205
1991-08-31,0,0.01722,3.239,0.00532,0.00228,-0.00867,-0.01375,0.00517
1991-09-30,0,0.01143,3.248,0.00203,0.00229,0.02366,-0.00065,-0.00206
1991-10-31,1,-0.05637,3.176,0.00768,0.00223,-0.08608,-0.03055,-0.0015
1991-11-30,0,0.00462,3.22,-0.00037,0.00227,-0.01191,-0.02403,0.0021
1991-12-31,1,0.12788,3.349,-0.00626,0.00237,0.14646,0.03564,-0.0002
1992-01-31,1,-0.01441,3.083,0.0212,0.00215,-0.02146,0.01566,0.00234
1992-02-29,1,-0.05136,3.131,-0.00074,0.00219,-0.08096,-0.01816,0.00114
1992-03-31,0,-0.01346,3.335,-0.01147,0.00236,0.0349,0.00041,0.0017
1992-04-30,0,0.00804,3.546,-0.01187,0.00254,0.02635,0.00949,0.00415
1992-05-31,0,0.01163,3.717,-0.00883,0.00268,-0.02579,-0.00286,0.00331
1992-06-30,0,0.04136,4.192,-0.02976,0.00308,0.03839,0.01158,0.00041
1992-07-31,0,0.01635,4.033,0.01451,0.00294,0.01601,0.01313,0.00179
1992-08-31,0,0.06536,4.276,-0.01349,0.00315,0.0504,0.02617,0.00479
1992-09-30,0,-0.0137,3.875,0.03132,0.00281,-0.00553,0.01508,0.00262
1992-10-31,0,-0.05123,3.904,0.00123,0.00284,-0.05055,-0.00789,0.00281
1992-11-30,0,0.02318,3.934,0.00116,0.00286,0.02136,0.00235,0.00211
1992-12-31,0,-0.02344,3.873,0.00747,0.00281,-0.00807,-0.0013,0.001
1993-01-31,0,0.02207,3.792,0.00884,0.00274,0.0287,0.0092,0.00167
1993-02-28,0,-0.01806,3.609,0.01585,0.00259,-0.00343,0.00478,-0.00044
1993-03-31,0,-0.02498,3.212,0.03047,0.00226,-0.05431,-0.0159,0.00151
1993-04-30,0,0.01629,2.962,0.01996,0.00205,0.00285,-0.00934,-0.00135
1993-05-31,1,-0.01051,2.966,0.0022,0.00205,0.01188,-0.00191,0.00061
1993-06-30,1,0.05613,2.71,0.02014,0.00184,0.06567,0.02174,0.00224
