entity,key,value,meaning,asof,source,is_assumed
KR_DC,dc_total_trn_krw,501.4,퇴직연금 적립금(조),2025-12-31,금융감독원 2025 퇴직연금 투자백서(2026.5),0
KR_DC,dc_guar_share,0.754,원리금보장 비중(378.1조),2025-12-31,금융감독원 2025 퇴직연금 투자백서,0
KR_DC,dc_guar_ret_pct,3.09,원리금보장 평균 수익률 %,2025-12-31,금융감독원 2025 퇴직연금 투자백서,0
KR_DC,dc_total_ret_pct,6.47,전체 운용수익률 % (실적배당 16.80),2025-12-31,금융감독원 2025 퇴직연금 투자백서,0
KR_DEFAULT,default_trn_krw,53.3,디폴트옵션 적립금(조) — 2023.7 시행,2025-12-31,한국금융신문 2026.9.10(고용노동부·금감원 공시 집계),0
KR_DEFAULT,default_stable_share,0.854,안정형(원리금보장) 비중 45.5조,2025-12-31,한국금융신문 2026.9.10,0
KR_DEFAULT,default_members_mn,7.34,"지정 가입자(백만 명), 안정형 583만 = 79.4%",2025-12-31,한국금융신문 2026.9.10,0
KR_TDF,tdf_nav_trn_krw,16.6,TDF 순자산(조) — 설정액 11.9조 · 운용사 22,2024-12-31,자본시장연구원 이슈보고서 26-08(제로인),0
KR_TDF,tdf_set_trn_krw,20.2,TDF 설정액(조) — 2026년 유입 3.7조,2026-07-31,금융투자협회·KG제로인(파이낸셜뉴스 2026.8.17),0
KR_TDF,tdf_fee_avg_pct,0.59,TDF 총보수율 평균 % (2025 빈티지 0.48 · 2050 0.71),2024-12-31,자본시장연구원 이슈보고서 26-08,0
KR_TDF,tdf_share_of_dc_funds,0.303,퇴직연금 공모펀드 중 TDF 비중,2026-08-03,파이낸셜뉴스 2026.8.17,0
GPFG,aum_bn_nok,21268.0,"시장가치(10억 NOK) — 2026.6 말 22,683",2025-12-31,NBIM 연차보고서 2025,0
GPFG,aum_trn_usd,2.39,약 2.39조 달러,2026-06-30,NBIM 반기보고서 2026,0
GPFG,eq_share,0.713,주식 비중(채권 26.5 · 비상장 부동산 1.7 · 인프라 0.4),2025-12-31,NBIM 연차보고서 2025,0
GPFG,rel_ret_pp,0.24,1998~2025 벤치마크 대비 연 %p(비용 전) · 2025년 −0.28,2025-12-31,NBIM 연차보고서 2025,0
GPFG,cost_bp,4.0,운용비용 bp,2025-12-31,NBIM 연차보고서 2025,0
GPFG,ret_since_1998_pct,6.6,연평균 수익률 % (2025년 15.1%),2025-12-31,NBIM 연차보고서 2025,0
YALE,aum_bn_usd,44.1,기금 규모 — FY2025 수익률 11.1% · 10년 연 9.4% · 지출 21억 달러,2025-06-30,Yale News 2025.10.24,0
YALE,spend_target_pct,5.25,"목표 지출률 % — 80/20 평활, 예산의 약 1/3",2025-06-30,Yale Provost 기금 지출정책 안내,0
YALE,illiq_cap,0.5,정책 — 비유동 ≤ 50% · 시장 비민감 자산 ≥ 30%,2025-06-30,Yale Investments Office 기금 보고서,0
YALE,secondary_sale_bn_usd,2.5,PE 세컨더리 매각(탐색 60억) — 연방 지원 축소·유동성,2025-06-30,Yale Daily News 2025.6.11 · Bloomberg,0
YALE,swensen_era_ret_pct,13.7,Swensen 재임 36년(1985~2021) 연평균 % — 과거 기록,2021-06-30,Yale News 2021.10.14,0
KR_UNIV,private_univ_reserve_trn_krw,11.5644,사립대 274교 적립금(조) — 예금·채권 중심,2024-12-31,교육부 대학알리미 · 대학교육연구소(2025.9),0
KR_UNIV,reserve_securities_cap,0.5,사립학교법 32조의2 — 적립금의 1/2 한도 증권 취득(벤처 1/10),2026-02-15,국가법령정보센터,0
KR_UNIV,univ_fin_invest_loss_2021_bn,183.0,2021년 사립대 금융상품 투자 손실(억) — 교육부 국정감사 자료,2021-12-31,연합뉴스 2022.9.26,0
