# 가상 데이터 — BAF.60080 연기금 운용전략과 성과평가 강의용. 실제 기관·개인의 자료가 아니다.
# 현직 가입자 5,500명(평균 46세) + 수급 중 은퇴자 4,500명(평균 72세)
# 지급개시 65세 · 1인 연 2,400만원 · 물가연동 2% · 65세 기대여명 21년 근사
# 할인율 3.3% 기준 PV 20,465억원 · 수정듀레이션 18.0년
year,t,수급자수,연간지급액_억원
2026,0,3296.9,791.25
2027,1,3239.3,792.98
2028,2,3095.2,772.85
2029,3,2950.2,751.38
2030,4,2824.1,733.65
2031,5,2720.7,720.93
2032,6,2629.1,710.58
2033,7,2553.7,704.02
2034,8,2491.1,700.48
2035,9,2431.1,697.3
2036,10,2373.1,694.27
2037,11,2341.1,698.6
2038,12,2328.7,708.8
2039,13,2322.0,720.9
2040,14,2330.4,737.99
2041,15,2350.9,759.35
2042,16,2350.3,774.34
2043,17,2376.3,798.59
2044,18,2405.7,824.64
2045,19,2449.0,856.24
2046,20,2489.4,887.8
2047,21,2529.2,920.04
2048,22,2603.2,965.87
2049,23,2628.8,994.89
2050,24,2654.9,1024.85
2051,25,2684.1,1056.86
2052,26,2690.1,1080.39
2053,27,2679.0,1097.46
2054,28,2669.8,1115.57
2055,29,2649.6,1129.28
2056,30,2605.1,1132.49
2057,31,2549.0,1130.29
2058,32,2456.7,1111.14
2059,33,2352.2,1085.14
2060,34,2242.5,1055.25
2061,35,2119.6,1017.36
2062,36,2002.5,980.36
2063,37,1868.5,933.06
2064,38,1727.1,879.68
2065,39,1586.3,824.13
2066,40,1499.5,794.63
2067,41,1351.1,730.31
2068,42,1210.6,667.43
2069,43,1077.7,606.04
2070,44,953.1,546.7
2071,45,836.9,489.63
2072,46,729.5,435.35
2073,47,630.9,384.07
2074,48,540.9,335.84
2075,49,460.2,291.48
2076,50,388.1,250.72
