# 가상 데이터 — BAF.60080 연기금 운용전략과 성과평가 강의용. 실제 기관·개인의 자료가 아니다.
# 생성 현금흐름. J-커브와 NAV 평활이 들어 있다. PME 분모는 반드시 실제 공모지수를 쓸 것
fund_id,vintage,전략,분기,납입액_억원,분배액_억원,NAV_억원
PE_2012_1,2012,Buyout,2012-Q1,75.0,0.0,73.74
PE_2012_1,2012,Buyout,2012-Q2,75.0,0.0,151.21
PE_2012_1,2012,Buyout,2012-Q3,75.0,0.0,242.15
PE_2012_1,2012,Buyout,2012-Q4,75.0,0.0,321.45
PE_2012_1,2012,Buyout,2013-Q1,75.0,0.0,425.9
PE_2012_1,2012,Buyout,2013-Q2,75.0,0.0,502.03
PE_2012_1,2012,Buyout,2013-Q3,75.0,0.0,623.39
PE_2012_1,2012,Buyout,2013-Q4,75.0,0.0,746.65
PE_2012_1,2012,Buyout,2014-Q1,62.5,0.0,840.94
PE_2012_1,2012,Buyout,2014-Q2,62.5,0.0,906.47
PE_2012_1,2012,Buyout,2014-Q3,62.5,0.0,949.58
PE_2012_1,2012,Buyout,2014-Q4,62.5,0.0,1082.76
PE_2012_1,2012,Buyout,2015-Q1,37.5,0.0,1138.35
PE_2012_1,2012,Buyout,2015-Q2,37.5,0.0,1177.54
PE_2012_1,2012,Buyout,2015-Q3,37.5,0.0,1225.67
PE_2012_1,2012,Buyout,2015-Q4,37.5,0.0,1080.28
PE_2012_1,2012,Buyout,2016-Q1,0.0,10.38,1104.16
PE_2012_1,2012,Buyout,2016-Q2,0.0,10.38,1156.64
PE_2012_1,2012,Buyout,2016-Q3,0.0,10.38,1183.82
PE_2012_1,2012,Buyout,2016-Q4,0.0,10.38,1184.46
PE_2012_1,2012,Buyout,2017-Q1,0.0,28.23,1008.51
PE_2012_1,2012,Buyout,2017-Q2,0.0,28.23,1088.44
PE_2012_1,2012,Buyout,2017-Q3,0.0,28.23,1133.34
PE_2012_1,2012,Buyout,2017-Q4,0.0,28.23,1063.58
PE_2012_1,2012,Buyout,2018-Q1,0.0,54.98,1025.38
PE_2012_1,2012,Buyout,2018-Q2,0.0,54.98,1013.84
PE_2012_1,2012,Buyout,2018-Q3,0.0,54.98,1046.72
PE_2012_1,2012,Buyout,2018-Q4,0.0,54.98,1040.44
PE_2012_1,2012,Buyout,2019-Q1,0.0,76.74,1067.9
PE_2012_1,2012,Buyout,2019-Q2,0.0,76.74,1005.22
PE_2012_1,2012,Buyout,2019-Q3,0.0,76.74,939.38
PE_2012_1,2012,Buyout,2019-Q4,0.0,76.74,917.17
PE_2012_1,2012,Buyout,2020-Q1,0.0,76.74,847.85
PE_2012_1,2012,Buyout,2020-Q2,0.0,76.74,812.02
PE_2012_1,2012,Buyout,2020-Q3,0.0,76.74,687.11
PE_2012_1,2012,Buyout,2020-Q4,0.0,76.74,614.71
PE_2012_1,2012,Buyout,2021-Q1,0.0,54.98,561.66
PE_2012_1,2012,Buyout,2021-Q2,0.0,54.98,535.53
PE_2012_1,2012,Buyout,2021-Q3,0.0,54.98,509.59
PE_2012_1,2012,Buyout,2021-Q4,0.0,54.98,464.73
PE_2012_1,2012,Buyout,2022-Q1,0.0,28.23,497.68
PE_2012_2,2012,Growth,2012-Q1,75.0,0.0,81.62
PE_2012_2,2012,Growth,2012-Q2,75.0,0.0,174.45
PE_2012_2,2012,Growth,2012-Q3,75.0,0.0,230.94
PE_2012_2,2012,Growth,2012-Q4,75.0,0.0,291.43
PE_2012_2,2012,Growth,2013-Q1,75.0,0.0,336.62
PE_2012_2,2012,Growth,2013-Q2,75.0,0.0,428.14
PE_2012_2,2012,Growth,2013-Q3,75.0,0.0,518.06
PE_2012_2,2012,Growth,2013-Q4,75.0,0.0,630.56
PE_2012_2,2012,Growth,2014-Q1,62.5,0.0,692.16
PE_2012_2,2012,Growth,2014-Q2,62.5,0.0,790.07
PE_2012_2,2012,Growth,2014-Q3,62.5,0.0,958.24
PE_2012_2,2012,Growth,2014-Q4,62.5,0.0,995.69
PE_2012_2,2012,Growth,2015-Q1,37.5,0.0,1091.5
PE_2012_2,2012,Growth,2015-Q2,37.5,0.0,1246.77
PE_2012_2,2012,Growth,2015-Q3,37.5,0.0,1257.13
PE_2012_2,2012,Growth,2015-Q4,37.5,0.0,1305.25
PE_2012_2,2012,Growth,2016-Q1,0.0,10.38,1302.57
PE_2012_2,2012,Growth,2016-Q2,0.0,10.38,1221.52
PE_2012_2,2012,Growth,2016-Q3,0.0,10.38,1237.05
PE_2012_2,2012,Growth,2016-Q4,0.0,10.38,1274.37
PE_2012_2,2012,Growth,2017-Q1,0.0,28.23,1275.4
PE_2012_2,2012,Growth,2017-Q2,0.0,28.23,1402.41
PE_2012_2,2012,Growth,2017-Q3,0.0,28.23,1455.97
PE_2012_2,2012,Growth,2017-Q4,0.0,28.23,1301.86
PE_2012_2,2012,Growth,2018-Q1,0.0,54.98,1339.73
PE_2012_2,2012,Growth,2018-Q2,0.0,54.98,1159.29
PE_2012_2,2012,Growth,2018-Q3,0.0,54.98,1016.6
PE_2012_2,2012,Growth,2018-Q4,0.0,54.98,979.76
PE_2012_2,2012,Growth,2019-Q1,0.0,76.74,900.87
PE_2012_2,2012,Growth,2019-Q2,0.0,76.74,791.67
PE_2012_2,2012,Growth,2019-Q3,0.0,76.74,765.24
PE_2012_2,2012,Growth,2019-Q4,0.0,76.74,709.49
PE_2012_2,2012,Growth,2020-Q1,0.0,76.74,700.94
PE_2012_2,2012,Growth,2020-Q2,0.0,76.74,667.41
PE_2012_2,2012,Growth,2020-Q3,0.0,76.74,625.19
PE_2012_2,2012,Growth,2020-Q4,0.0,76.74,578.4
PE_2012_2,2012,Growth,2021-Q1,0.0,54.98,517.11
PE_2012_2,2012,Growth,2021-Q2,0.0,54.98,467.57
PE_2012_2,2012,Growth,2021-Q3,0.0,54.98,424.07
PE_2012_2,2012,Growth,2021-Q4,0.0,54.98,396.84
PE_2012_2,2012,Growth,2022-Q1,0.0,28.23,363.99
PE_2012_3,2012,Secondary,2012-Q1,75.0,0.0,75.32
PE_2012_3,2012,Secondary,2012-Q2,75.0,0.0,168.1
PE_2012_3,2012,Secondary,2012-Q3,75.0,0.0,231.07
PE_2012_3,2012,Secondary,2012-Q4,75.0,0.0,298.14
PE_2012_3,2012,Secondary,2013-Q1,75.0,0.0,377.9
PE_2012_3,2012,Secondary,2013-Q2,75.0,0.0,441.12
PE_2012_3,2012,Secondary,2013-Q3,75.0,0.0,541.65
PE_2012_3,2012,Secondary,2013-Q4,75.0,0.0,640.96
PE_2012_3,2012,Secondary,2014-Q1,62.5,0.0,727.18
PE_2012_3,2012,Secondary,2014-Q2,62.5,0.0,766.84
PE_2012_3,2012,Secondary,2014-Q3,62.5,0.0,800.68
PE_2012_3,2012,Secondary,2014-Q4,62.5,0.0,859.02
PE_2012_3,2012,Secondary,2015-Q1,37.5,0.0,931.25
PE_2012_3,2012,Secondary,2015-Q2,37.5,0.0,949.46
PE_2012_3,2012,Secondary,2015-Q3,37.5,0.0,996.22
PE_2012_3,2012,Secondary,2015-Q4,37.5,0.0,1064.35
PE_2012_3,2012,Secondary,2016-Q1,0.0,10.38,1093.84
PE_2012_3,2012,Secondary,2016-Q2,0.0,10.38,1219.19
PE_2012_3,2012,Secondary,2016-Q3,0.0,10.38,1342.15
PE_2012_3,2012,Secondary,2016-Q4,0.0,10.38,1388.95
PE_2012_3,2012,Secondary,2017-Q1,0.0,28.23,1350.34
PE_2012_3,2012,Secondary,2017-Q2,0.0,28.23,1357.09
PE_2012_3,2012,Secondary,2017-Q3,0.0,28.23,1375.59
PE_2012_3,2012,Secondary,2017-Q4,0.0,28.23,1459.11
PE_2012_3,2012,Secondary,2018-Q1,0.0,54.98,1532.23
PE_2012_3,2012,Secondary,2018-Q2,0.0,54.98,1499.13
PE_2012_3,2012,Secondary,2018-Q3,0.0,54.98,1585.53
PE_2012_3,2012,Secondary,2018-Q4,0.0,54.98,1646.65
PE_2012_3,2012,Secondary,2019-Q1,0.0,76.74,1424.67
