# 가상 데이터 — BAF.60080 연기금 운용전략과 성과평가 강의용. 실제 기관·개인의 자료가 아니다.
# 가상 기금 KFP. 2022년은 동반 하락 국면으로 설정했다. 실제 시장 수익률로 교체하면 더 정확하다
분기,부서,자산군,실제비중_%,목표비중_%,분기수익률_%,부서초과_%
2021-Q1,주식,국내주식,10.89,12,4.544,0.546
2021-Q1,주식,해외선진주식,23.74,23,10.996,-1.582
2021-Q1,주식,신흥주식,9.07,10,2.675,-0.117
2021-Q1,채권,국내채권,18.28,18,-0.586,1.556
2021-Q1,채권,해외채권,9.37,10,-4.261,-1.127
2021-Q1,채권,크레딧,6.2,7,0.941,1.045
2021-Q1,대체,부동산,6.87,7,-1.75,1.001
2021-Q1,대체,인프라,5.81,6,8.048,-0.465
2021-Q1,대체,사모주식,6.24,7,10.965,-0.459
2021-Q1,오버레이,통화헤지,0.0,0,-3.823,0.432
2021-Q2,주식,국내주식,11.71,12,4.748,1.102
2021-Q2,주식,해외선진주식,21.03,23,5.739,0.497
2021-Q2,주식,신흥주식,9.96,10,3.737,0.102
2021-Q2,채권,국내채권,18.76,18,0.843,0.312
2021-Q2,채권,해외채권,9.83,10,2.025,0.044
2021-Q2,채권,크레딧,7.4,7,7.18,-1.228
2021-Q2,대체,부동산,6.94,7,-1.196,1.189
2021-Q2,대체,인프라,5.93,6,5.677,-0.05
2021-Q2,대체,사모주식,7.55,7,-6.342,-0.488
2021-Q2,오버레이,통화헤지,0.0,0,-9.231,0.2
2021-Q3,주식,국내주식,12.26,12,-0.886,-0.42
2021-Q3,주식,해외선진주식,24.14,23,1.301,-3.084
2021-Q3,주식,신흥주식,9.97,10,-5.031,-0.903
2021-Q3,채권,국내채권,16.88,18,-2.021,-1.691
2021-Q3,채권,해외채권,9.3,10,2.019,-1.104
2021-Q3,채권,크레딧,6.98,7,-1.655,-2.702
2021-Q3,대체,부동산,7.09,7,7.444,0.915
2021-Q3,대체,인프라,6.81,6,3.003,0.974
2021-Q3,대체,사모주식,6.53,7,1.555,-1.273
2021-Q3,오버레이,통화헤지,0.0,0,-2.203,-0.602
2021-Q4,주식,국내주식,12.31,12,0.957,-1.009
2021-Q4,주식,해외선진주식,23.39,23,12.358,-0.094
2021-Q4,주식,신흥주식,8.79,10,-0.827,-0.174
2021-Q4,채권,국내채권,18.89,18,11.44,-0.451
2021-Q4,채권,해외채권,10.8,10,10.639,-1.217
2021-Q4,채권,크레딧,6.81,7,12.357,0.873
2021-Q4,대체,부동산,6.75,7,3.747,0.318
2021-Q4,대체,인프라,5.85,6,0.25,-1.431
2021-Q4,대체,사모주식,7.46,7,4.419,0.34
2021-Q4,오버레이,통화헤지,0.0,0,12.931,0.33
2022-Q1,주식,국내주식,12.16,12,-5.824,-0.694
2022-Q1,주식,해외선진주식,24.1,23,5.987,1.166
2022-Q1,주식,신흥주식,10.46,10,4.134,-0.236
2022-Q1,채권,국내채권,17.91,18,-10.457,2.865
2022-Q1,채권,해외채권,9.51,10,3.544,-2.608
2022-Q1,채권,크레딧,6.44,7,-8.568,-2.189
2022-Q1,대체,부동산,6.65,7,2.219,0.359
2022-Q1,대체,인프라,5.8,6,-2.116,1.256
2022-Q1,대체,사모주식,6.79,7,3.288,-1.433
2022-Q1,오버레이,통화헤지,0.0,0,-1.82,-1.289
2022-Q2,주식,국내주식,11.71,12,-6.345,-1.272
2022-Q2,주식,해외선진주식,21.97,23,-2.094,-2.29
2022-Q2,주식,신흥주식,9.44,10,-15.285,-0.2
2022-Q2,채권,국내채권,18.14,18,-4.462,1.023
2022-Q2,채권,해외채권,9.67,10,-14.076,-0.247
2022-Q2,채권,크레딧,7.44,7,12.439,2.507
2022-Q2,대체,부동산,6.51,7,-19.814,-2.074
2022-Q2,대체,인프라,5.82,6,3.458,-0.675
2022-Q2,대체,사모주식,6.59,7,0.77,0.68
2022-Q2,오버레이,통화헤지,0.0,0,-5.135,1.928
2022-Q3,주식,국내주식,11.83,12,1.42,-1.335
2022-Q3,주식,해외선진주식,22.12,23,6.012,2.029
2022-Q3,주식,신흥주식,9.87,10,-6.841,-0.435
2022-Q3,채권,국내채권,18.19,18,-10.12,-2.96
2022-Q3,채권,해외채권,9.93,10,0.178,0.509
2022-Q3,채권,크레딧,7.51,7,3.954,1.134
2022-Q3,대체,부동산,6.66,7,0.73,1.831
2022-Q3,대체,인프라,6.49,6,-5.552,0.705
2022-Q3,대체,사모주식,7.51,7,-4.735,0.728
2022-Q3,오버레이,통화헤지,0.0,0,5.039,0.493
2022-Q4,주식,국내주식,12.3,12,4.543,-0.858
2022-Q4,주식,해외선진주식,21.65,23,-0.426,-0.658
