date,ret_SPY,ret_EFA,ret_EEM,ret_IEF,ret_TLT,ret_LQD,ret_HYG,ret_TIP,ret_VNQ,ret_GLD,ret_DBC
2015-08-01,-6.095,-7.4251,-8.8362,0.079,-0.6895,-0.8274,-1.5233,-0.9499,-6.2911,3.7072,-0.2543
2015-09-01,-2.5516,-4.4189,-3.1324,1.5792,1.9669,1.1898,-2.9899,-0.523,3.0597,-1.8011,-3.4417
2015-10-01,8.5059,6.612,6.3758,-0.637,-0.4088,0.5736,3.2308,0.3001,5.7585,2.2834,0.33
2015-11-01,0.3655,-0.7527,-2.5236,-0.4276,-0.8677,-0.1542,-2.496,-0.1442,-0.6259,-6.7521,-6.6447
2015-12-01,-1.7283,-2.3319,-3.8198,-0.4531,-0.2972,-1.081,-1.9923,-1.0108,1.831,-0.4513,-5.8492
2016-01-01,-4.9787,-5.5177,-5.0326,3.3336,5.5731,0.1228,-1.6009,1.5682,-3.4366,5.411,-4.3413
2016-02-01,-0.0825,-3.3346,-0.8178,1.486,3.0859,1.0517,1.4969,1.2208,-0.3636,10.9303,-0.2347
2016-03-01,6.7266,6.5822,12.9617,-0.0661,-0.0933,3.6145,2.547,1.6673,10.4654,-0.8429,4.2353
2016-04-01,0.3941,2.2218,0.4088,-0.1561,-0.7365,1.5546,3.1226,0.2093,-2.3509,5.1088,9.7065
2016-05-01,1.7011,-0.0856,-3.6929,-0.0992,0.8054,-0.5124,0.1701,-0.6441,2.2486,-6.1383,0.8916
2016-06-01,0.3476,-2.4194,4.5591,3.0876,6.9342,3.0943,1.7931,2.2488,6.9284,8.9695,4.3508
2016-07-01,3.6471,3.9771,5.3841,0.2465,2.1025,1.2916,1.3131,0.6388,4.263,1.9847,-6.9707
2016-08-01,0.1198,0.5341,0.8837,-1.0115,-1.0135,0.1803,1.9676,-0.3427,-3.7642,-3.2563,0.7703
2016-09-01,0.0058,1.3368,2.5185,0.2375,-1.5084,-0.3156,1.0785,0.7507,-1.8325,0.6892,4.3085
2016-10-01,-1.7337,-2.2155,-0.8278,-1.4947,-4.3806,-1.5286,-0.9831,-0.5408,-5.7413,-2.9449,-0.3331
2016-11-01,3.6838,-1.7814,-4.4157,-4.2273,-8.2138,-3.1676,0.0188,-2.0715,-1.6756,-8.3566,1.6711
2016-12-01,2.0272,2.7063,-0.2527,-0.1185,-0.4626,0.8392,1.8389,-0.0406,4.8171,-1.915,4.142
2017-01-01,1.7894,3.2912,6.6553,0.2194,0.8142,0.1451,0.9127,0.8925,-0.1939,5.4192,-0.5682
2017-02-01,3.9291,1.1907,1.7408,0.7236,1.5846,1.321,1.5318,0.4116,3.5086,3.1848,-0.1905
2017-03-01,0.125,3.2317,3.6852,0.0806,-0.6551,-0.2951,-0.1433,0.0,-2.4237,-0.4277,-3.2443
2017-04-01,0.9926,2.4241,1.7009,1.1088,1.5732,1.1889,0.8157,0.4498,0.2422,1.7267,-2.6956
2017-05-01,1.4113,3.5423,2.8457,0.8267,1.8879,1.3332,1.0314,-0.0401,-0.7247,-0.1242,-1.4189
